horse_no,date,work_type,racecourse,track,workout_details,gear
D241,23/12/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,22/12/2025,游水,沙田,,,
D241,22/12/2025,踱步,沙田,內圈,內圈 倒快一圈 (助手),
D241,21/12/2025,游水,沙田,,,
D241,20/12/2025,游水,沙田,,,
D241,19/12/2025,游水,沙田,,,
D241,17/12/2025,出賽,跑馬地,草地,2200M (田泰安) (6/12),B/TT
D241,17/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,16/12/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,15/12/2025,游水,沙田,,,
D241,15/12/2025,快操,沙田,全天候,31.4 26.8 (58.2) (助手),
D241,15/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,14/12/2025,游水,沙田,,,
D241,13/12/2025,游水,沙田,,,
D241,13/12/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,12/12/2025,游水,沙田,,,
D241,12/12/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,11/12/2025,游水,沙田,,,
D241,11/12/2025,快操,沙田,全天候,28.8 26.8 (55.6) (助手),
D241,11/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,10/12/2025,游水,沙田,,,
D241,10/12/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,09/12/2025,游水,沙田,,,
D241,09/12/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,08/12/2025,游水,沙田,,,
D241,08/12/2025,快操,沙田,全天候,27.0 22.8 (49.8) (助手) 不勞而獲,
D241,08/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,07/12/2025,游水,沙田,,,
D241,06/12/2025,游水,沙田,,,
D241,06/12/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,05/12/2025,游水,沙田,,,
D241,05/12/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,04/12/2025,游水,沙田,,,
D241,04/12/2025,快操,沙田,全天候,29.8 25.7 (55.5) (助手),
D241,04/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,03/12/2025,游水,沙田,,,
D241,03/12/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,02/12/2025,游水,沙田,,,
D241,02/12/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,01/12/2025,游水,沙田,,,
D241,01/12/2025,快操,沙田,全天候,29.1 23.0 (52.1) (助手) 風騷大師,
D241,29/11/2025,游水,沙田,,,
D241,29/11/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,28/11/2025,游水,沙田,,,
D241,28/11/2025,快操,沙田,全天候,30.8 26.7 (57.5) (助手),
D241,28/11/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,27/11/2025,游水,沙田,,,
D241,27/11/2025,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
D241,26/11/2025,游水,沙田,,,
D241,26/11/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,25/11/2025,游水,沙田,,,
D241,25/11/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,24/11/2025,游水,沙田,,,
D241,24/11/2025,快操,沙田,全天候,28.6 24.7 (53.3) (助手) 天德神影,
D241,24/11/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,23/11/2025,游水,沙田,,,
D241,22/11/2025,游水,沙田,,,
D241,22/11/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,21/11/2025,游水,沙田,,,
D241,21/11/2025,快操,沙田,全天候,26.5 24.5 (51.0) (助手) 天德神影,
D241,21/11/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,20/11/2025,游水,沙田,,,
D241,20/11/2025,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
D241,19/11/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,18/11/2025,游水,沙田,,,
D241,18/11/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,17/11/2025,游水,沙田,,,
D241,17/11/2025,快操,沙田,全天候,31.5 27.3 (58.8) (助手),
D241,17/11/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,16/11/2025,游水,沙田,,,
D241,15/11/2025,游水,沙田,,,
D241,15/11/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,14/11/2025,游水,沙田,,,
D241,14/11/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,13/11/2025,游水,沙田,,,
D241,13/11/2025,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
D241,12/11/2025,游水,沙田,,,
D241,12/11/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,11/11/2025,游水,沙田,,,
D241,11/11/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,10/11/2025,游水,沙田,,,
D241,09/11/2025,游水,沙田,,,
D241,08/11/2025,游水,沙田,,,
D241,07/11/2025,游水,沙田,,,
D241,05/11/2025,出賽,跑馬地,草地,2200M (田泰安) (1/7),B/TT
D241,05/11/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,04/11/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,03/11/2025,游水,沙田,,,
D241,03/11/2025,快操,沙田,全天候,30.3 26.3 (56.6) (田泰安),
D241,03/11/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,02/11/2025,游水,沙田,,,
D241,01/11/2025,游水,沙田,,,
D241,01/11/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,31/10/2025,游水,沙田,,,
D241,31/10/2025,快操,沙田,全天候,27.3 23.4 (50.7) (田泰安) 富國兄弟,
D241,31/10/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,30/10/2025,游水,沙田,,,
D241,30/10/2025,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
D241,29/10/2025,游水,沙田,,,
D241,29/10/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,28/10/2025,游水,沙田,,,
D241,28/10/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,27/10/2025,游水,沙田,,,
D241,27/10/2025,快操,沙田,全天候,27.5 24.4 (51.9) (助手) 小皇爺,
D241,27/10/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,26/10/2025,游水,沙田,,,
D241,25/10/2025,游水,沙田,,,
D241,25/10/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,24/10/2025,游水,沙田,,,
D241,24/10/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,23/10/2025,游水,沙田,,,
D241,23/10/2025,快操,沙田,全天候,28.0 23.9 (51.9) (助手) 神煞金剛,
D241,23/10/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,22/10/2025,游水,沙田,,,
D241,22/10/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,21/10/2025,游水,沙田,,,
D241,21/10/2025,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,20/10/2025,游水,沙田,,,
D241,20/10/2025,快操,沙田,全天候,29.6 26.9 (56.5) (助手),
D241,20/10/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,19/10/2025,游水,沙田,,,
D241,18/10/2025,游水,沙田,,,
D241,18/10/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,17/10/2025,游水,沙田,,,
D241,17/10/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,16/10/2025,游水,沙田,,,
D241,16/10/2025,踱步,沙田,內圈,內圈 倒快一圈 (助手),
D241,15/10/2025,游水,沙田,,,
D241,15/10/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,14/10/2025,游水,沙田,,,
