horse_no,date,work_type,racecourse,track,workout_details,gear
J346,16/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
J346,15/01/2026,游水,從化,,,
J346,15/01/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
J346,14/01/2026,游水,從化,,,
J346,14/01/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
J346,13/01/2026,馬匹水中步行機,從化,,,
J346,13/01/2026,游水,從化,,,
J346,12/01/2026,試閘,從化,草地,第1組 (巴度) 1000M 智勝勳章 13.7 21.9 23.8 (0.59.48),
J346,12/01/2026,踱步,從化,飛機場,飛機場 踱步 (助手),
J346,11/01/2026,游水,從化,,,
J346,11/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
J346,10/01/2026,游水,從化,,,
J346,10/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
J346,09/01/2026,游水,從化,,,
J346,09/01/2026,快操,從化,全天候,26.6 (26.6) (助手),H
J346,09/01/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
J346,08/01/2026,游水,從化,,,
J346,08/01/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
J346,07/01/2026,游水,從化,,,
J346,06/01/2026,游水,從化,,,
J346,06/01/2026,快操,從化,全天候,26.7 (26.7) (助手),H
J346,06/01/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
J346,05/01/2026,游水,從化,,,
J346,05/01/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
J346,04/01/2026,游水,從化,,,
J346,04/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
J346,03/01/2026,馬匹水中步行機,從化,,,
J346,02/01/2026,游水,從化,,,
J346,02/01/2026,快操,從化,全天候,26.8 (26.8) (助手),H
J346,02/01/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
J346,01/01/2026,游水,從化,,,
J346,01/01/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
J346,31/12/2025,游水,從化,,,
J346,30/12/2025,游水,從化,,,
J346,30/12/2025,快操,從化,全天候,29.9 (29.9) (助手),H
J346,30/12/2025,踱步,從化,飛機場,飛機場 踱步 (助手),H
J346,29/12/2025,游水,從化,,,
J346,29/12/2025,踱步,從化,內圈,內圈 倒快一圈 (助手),H
J346,28/12/2025,馬匹水中步行機,從化,,,
J346,28/12/2025,游水,從化,,,
J346,27/12/2025,游水,從化,,,
J346,27/12/2025,踱步,從化,內圈,內圈 快踱一圈 (助手),H
J346,26/12/2025,游水,從化,,,
J346,26/12/2025,踱步,從化,內圈,內圈 快踱一圈 (助手),H
J346,25/12/2025,游水,從化,,,
J346,25/12/2025,踱步,從化,內圈,內圈 倒快一圈 (助手),H
J346,24/12/2025,游水,從化,,,
J346,24/12/2025,踱步,從化,飛機場,飛機場 踱步 (助手),H
J346,23/12/2025,游水,從化,,,
J346,23/12/2025,踱步,從化,飛機場,飛機場 踱步 (助手),H
J346,22/12/2025,游水,從化,,,
J346,22/12/2025,踱步,從化,飛機場,飛機場 踱步 (助手),H
J346,21/12/2025,馬匹水中步行機,從化,,,
J346,21/12/2025,游水,從化,,,
